mon,pronunciation,pos,th
ဇမၞော်ဂုက်,จฺอมโนฺกเกิฺก,น.,หัวหน้าเรือนจำ
ဇမၞော်ဒါန်,จฺอมโนฺกตฺาน,น.,ทายก
ဇမၞော်ဒါန်,จฺอมโนฺกตฺาน,น.,ผู้นำพิธี
ဇမၞော်ဗာန်ဒါ,จฺอมโนฺกปฺานแตฺ-า,น.,หัวหน้าการคลัง
ဇမၞး,จฺอมแนฺ.ฮ,น.,ชัยชนะ
ဇမ္မုဒိပ်,จฺอมมฺุติฺบ,น.,ชมพูทวีป
ဇမ္မုနတ်,จฺอมมฺุนฺอด,น.,ทองชมพูนุท
ဇမ္မုရဟ်,จฺอมมฺุรฺอ.ฮ,น.,ชมพู่ชนิดหนึ่ง
ဇမြ,จฺอมแรฺ.,น.,ความร่วงโรย
ဇမြ,จฺอมแรฺ.,น.,ความเหี่ยวแห้ง
ဇမၠိၚ်,จฺอมเลฺิญ,น.,ความยาว
ဇမၠိၚ်,จฺอมเลฺิญ,น.,ด้านยาว
ဇမၠိၚ်,จฺอมเลฺิญ,,ดู  ဓလိၚ်
ဇမၠိၚ်အာယုက်,จฺอมเลิฺญอาเยฺิก,ก.,ต่ออายุ
ဇမၠိၚ်အာယုက်,จฺอมเลิฺญอาเยฺิก,ก.,ทำให้อายุยืน
ဇမၠေံ,จฺอมเลฺ.,น.,ความสั้น
ဇမၠေံ,จฺอมเลฺ.,ว.,สั้น
ဇဝ်,จฺอ,น.,ช่อ
ဇဝ်,จฺอ,ก.,ออกช่อ เช่น ဇဝ်ပ္ကဴ ช่อดอกไม้
ဇဝ်တရၚ်,จฺอตะรัง,น.,สลักประตู
ဇဝ်တရၚ်,จฺอตะรัง,น.,ลูกดาน
ဇဝ်တရၚ်,จฺอตะรัง,น.,กลอนประตู
ဇှ်,,,ดู  ဇွဟ်
ဇါ,แจฺ-า,น.,ข่าย
ဇါ,แจฺ-า,น.,ตาข่าย เช่น  ဇါက ข่ายดักปลา
ဇါၚ်ၚု,จฺาญงฺุ,น.,ชาดก้อน
ဇါတ်,จฺาด,น.,ชาดก
ဇါတ်,จฺาด,น.,เรื่องเล่า
ဇါတရုပ်,แจฺ-าตะรฺุบ,น.,ทองคำ
ဇါတ်သပါ,จฺาดซะปา,น.,พญางู
ဇါတိ,แจฺ-าตอย.,น.,ชาติกำเนิด
ဇါတိ,แจฺ-าตอย.,น.,ถิ่นเกิด
ဇာတိသိုၚ်,แจฺ-าติซิาง,น.,ราชสีห์
ဇါဒြာဲ,แจฺ.ตฺราย,น.,ข่ายดักสัตว์
ဇါဒိဖဵု,แจฺ-าติฺพอ,น.,ลูกจันทน์
ဇါဒိသိုၚ်,แจฺ-าติฺซิาง,น.,ราชสีห์
ဇါပ်,จฺาบ,ก.,ซึม
ဇါပ်,จฺาบ,ก.,ซึมซับ
ဇါပ်,จฺาบ,ก.,จับคราบ
ဇါဗြောန်,แจฺ.โปฺฺรน,น.,ตาข่ายไม้ไผ่
ဇါဗြောန်,แจฺ.โปฺฺรน,น.,แผงไม้ไผ่(มักใช้ทำฝาเรือน)
ဇါမနဳ,แจฺ-าแมฺ.นีฺ,น.,เยอรมันนี
ဇါလဂေါဝ်,แจฺ.แลฺ.โกฺ,น.,สายน้ำ
ဇါလဂေါဝ်,แจฺ.แลฺ.โกฺ,น.,ธารน้ำ
ဇါလဳ,แจฺ-าลีฺ,น.,เสื้อเกราะ
ဇိက်,เจฺิจ,ก.,ไถ เช่น ဇိက်တိ ไถนา
ဇိက်ဗ္ၚမ္ၚိုဝ်,เจฺิจแปฺ.แงฺ.แมฺ.เงฺอ,ก.,ทำพิธีแรกนาขวัญ
ဇိက်ဗနိက်,เจฺิจแปฺ.เนิฺจ,ก.,ค้าขาย
ဇိၚ်,เจฺิญ,ก.,เย็บ
ဇိၚ်,เจฺิญ,ก.,ร้อย เช่น ဇိၚ်ဇမန် ร้อยพวงมาลัย
ဇိပ်ဂၠိပ်,จฺิบกฺฺลิบ,ว.,อ่อนโยน
ဇိပ်ဂၠိပ်,จฺิบกฺฺลิบ,ว.,น่ารักใคร่
ဇိပ်ဂၠိပ်,จฺิบกฺฺลิบ,ว.,ละเอียดอ่อน
ဇိပ်ဂၠိပ်,จฺิบกฺฺลิบ,ว.,ประณีต
ဇီ,จฺิม,ก.,ซึมออก เช่น  น้ำซึม
ဇိဝိ,จฺิวฺิ,น.,ชีวิต
ဇိဝိတာ,จฺิวิฺตา,น.,ชีวิต
ဇဳ,จฺี,น.,เทียน
ဇဳ,จฺี,ว.,ทุกอย่าง
ဇဳ,จฺี,ว.,ถ้วน
ဇဳ,จฺี,ว.,ทั่วไป
ဇဳကာံ,จฺีกาม,น.,เทียนแกลบ
ဇဳခရဳ,จีฺคะรี,ว.,ทุกอย่างทุกอย่าง
ဇဳခရဳ,จีฺคะรี,ว.,มีพร้อมสรรพ
ဇဳဇၟတ်,จฺีแจฺ.มฺอด,น.,เทียนตาตั๊กแตน
ဇဳဇပ်,จฺีจฺอบ,ว.,พร้อมเพรียง
ဇဳဒမျိုၚ်,จฺีตฺอมยิฺาง,น.,เทียนดำ
ဇဳဒိုပ်,จฺีเตฺิบ,น.,เทียนเยาวภาณี
ဇဳနက်,จฺีแนฺก,น.,เทียนดำ
ဇဳပလေၚ်,จีฺปะลอญ,น.,เทียนข้าวเหนียว
ဇဳဗ္ကေတ်,จฺีแปฺ.เกด,น.,เทียนแดง
ဇဳဗ္တာၚ်,จีฺแปฺ.ตาญ,น.,เทียนขาว
ဇဳယှာ,จฺียา,น.,เทียนสะระแหน่
ဇဳရှာ,จฺีรา,น.,เทียนยี่หร่า
ဇဳဝက,จฺีแวฺ.กะ,น.,หมอชีวก
ဇဳဝိတ,จฺีวิฺตะ,น.,ชีวิต
ဇဳဝီု,จฺีเวิม,น.,ชีวิต
ဇု,จฺุ,น.,น้องของปู่ย่าตายาย
ဇုက်,เจฺิก,น.,เชือก
ဇုက်,เจฺิก,น.,เถา
ဇုက်,เจฺิก,น.,สาย
ဇုက်,เจฺิก,ลน.,สาย
ဇုက်,เจฺิก,ลน.,เส้น
ဇုက်,เจฺิก,น.,สาแหรก
ဇုက်,เจฺิก,น.,เหล่าก่อ
ဇုက်,เจฺิก,น.,ญาติสายเดียวกัน
ဇုက်ကနိ,เจิฺกกะนอย.,น.,เถาดีปลี
ဇုက်ကနေၚ်,เจิฺกกะเนียง,น.,เครื่องผูกมัด
ဇုက်ကနေၚ်,เจิฺกกะเนียง,น.,เชือกสำหรับผูก
ဇုက်ကနေၚ်,เจิฺกกะเนียง,น.,เชือกสำหรับมัด
ဇုက်ကမာၚ်,เจิฺกกะมาญ,น.,เชือกปลอกที่เท้าช้าง
ဇုက်ကယဝ်,เจิฺกกะยอ,น.,เถาปะคำดีควาย
ဇုက်ကၠီ,เจิฺกกฺลิม,น.,เชือกชนิดหนึ่งทำด้วยเปลือกไม้
ဇုက်ကံချေံ,เจิฺกกอ.เคฺย.ฮ,น.,เชือกผูกม้า
ဇုက်ဂညာ,เจิฺกแกฺ.แญฺ-า,น.,เชือกชนิดหนึ่งทำด้วยเปลือกไม้
ဇုက်ဂၞၚ်,เจิฺกแกฺ.แนฺง,น.,คันนา
ဇုက်ဂရေဟ်,เจฺิกแกฺ.เรฺ.ฮ,น.,สายโซ่
ဇုက်ဂြိုပ်,เจิฺกเกฺฺริบ,น.,เถาวัลย์
ဇုက်ဂဟေက်,เจิฺกแกฺ.เฮีฺยก,น.,เชือกบางเหียนม้า
ဇုက်ဂတ်ဂၞိၚ်,เจิฺกกฺอดแกฺ.เนิฺญ,น.,เข็มขัด
ဇုက်ဂတ်ဂၞိၚ်,เจิฺกกฺอดแกฺ.เนิฺญ,น.,ผ้ารัดเอว
ဇုက်ဂတ်ဂၞိၚ်,เจิฺกกฺอดแกฺ.เนิฺญ,น.,ผ้าคาดพุง
ဇုက်စၞာံ,เจิฺกจะนาม,น.,เชือกหนัง
ဇုက်စၞာံ,เจิฺกจะนาม,น.,เชือกหนัง
ဇုက်စရိုတ်,เจิฺกจะรอด,น.,เชือกรัดท้องช้าง
ဇုက်တ္ၚ,เจิฺกตะงะ,น.,สายธนู
ဇုက်တမၞာတ်က္ၜၚ်,เจิฺกตอมนาดกะบัง,น.,เถาชะเอม
ဇုက်ဒရဲ,เจิฺกแตฺ.รัฺว,น.,เชือกแขวน
ဇုက်ဒရဲ,เจิฺกแตฺ.รัฺว,น.,เชือกรั้งไม่ให้วัตถุทรงสูงล้มหรือเอียง
ဇုက်ပၞောန်,เจิฺกปะโนน,น.,เส้นบรรทัด
ဇုက်ပၞောန်,เจิฺกปะโนน,น.,เต้าวัด
ဇုက်ပၞောန်,เจิฺกปะโนน,น.,เชือกหรือด้ายใช้ในการตีเส้น
ဇုက်ပရိုတ်,เจิฺกปะรอด,น.,ด้ายสายสิญจน์
ဇုက်ပရိုတ်,เจิฺกปะรอด,น.,ด้ายมงคล
ဇုက်ပါန်,เจิฺกปาน,น.,เชือกป่าน
ဇုက်ဗၠဲ,เจิฺกปฺฺลัว,น.,พลอยสาย(ใช้วัดระยะปรากฏอยู่ในตำนานการสร้างเมืองสะเทิม)
ဇုက်ဗၜန်,เจิฺกแปฺ.บอน,น.,เชือกฝั้น
ဇုက်လလဳ,เจิฺกแลฺ.ลีฺ,น.,สายฟ้า
ဇုက်လောတ်,เจิฺกโลฺด,น.,เส้นลวด
ဇုက်လောတ်စၞာံ,เจิฺกโลฺดจะนาม,น.,เชือกเส้นหนัง
ဇုက်ဟတ်,เจิฺกฮอด,น.,ไนปั่นฝ้าย
ဇုက်ဟတ်,เจิฺกฮอด,น.,สายพานไน
ဇုက်ၜဝ်,เจิฺกบอ,น.,เชือกหวาย
ဇုဇဗဴလ,จฺุแจฺ.แปฺ-าแลฺ.,น.,ปู่ย่าตายาย
ဇုဇဗဴလ,จฺุแจฺ.แปฺ-าแลฺ.,น.,บรรพบุรุษ
ဇုဇဗဴလ,จฺุแจฺ.แปฺ-าแลฺ.,น.,เทือกเถาเหล่าก่อ
ဇုတ်,จฺุด,น.,กระดูก
ဇုတ်,จฺุด,น.,ก้าง
ဇုတ်ထကဲ,จฺุดทะกัว,น.,กระดูกชายโครง
ဇုတ်သွိ,จฺุดซะวอย.,น.,เถาสะค้าน
ဇုန်ဇါ,จฺุนแจฺ-า,น.,ชิงช้า
ဇူ,จฺู,ก.,พักเหนื่อย
ဇူ,จฺู,ก.,หยุดพักชั่วคราว
ဇူဒီု,จฺูเตฺิม,ก.,พักอาศัย
ဇူဒီု,จฺูเตฺิม,ก.,พักแรม
ဇူဗဒါဲ,จฺูแปฺ.ตฺาย,ก.,พักพิง
ဇူဗဒါဲ,จฺูแปฺ.ตฺาย,ก.,พึ่งพิง
ဇူသၠိၚ်,จฺูซะเลิญ,ก.,พักนอน
ဇေဋ္ဌ,เจฺดทะ,น.,พี่ชาย
ဇေဋ္ဌ,เจฺดทะ,ว.,ผู้เจริญที่สุด
ဇေတ်,เจฺด,ว.,แท้
ဇေတ်,เจฺด,ว.,จริง
ဇေတ်,เจฺด,ว.,ชัด
ဇေတဝန်,เจฺตะวอน,น.,เชตวัน(ชื่อพระวิหารในสมัยพุทธกาล)
ဇေန်,เจฺน,น.,วารสาร
ဇေန်,เจฺน,น.,หมายอักษร
ဇေန်,เจฺน,น.,หมายเลข
ဇေန်,เจฺน,น.,ฉลาก
ဇှ်ေ,เจฺฮ,ก.,จิกด้วยเล็บ(การละเล่นของเด็กชนิดหนึ่ง
ဇှ်ေ,เจฺฮ,น.,เดือน7
ဇဲ,จฺัว,ว.,เอน
ဇဲ,จฺัว,ว.,เอียง
ဇဲ,จฺัว,ว.,โย้
ဇဲ,จฺัว,น.,ความเพียร
ဇဲယ,จฺัวแยฺ.,น.,ความมีชัย
ဇဲယ,จฺัวแยฺ.,น.,ชัยชนะ
ဇေါတိ,โจฺวตอย.,น.,ความรุ่งเรือง
ဇေါတိ,โจฺวตอย.,น.,ความสว่าง
ဇဴစိုတ်,แจฺ-าจอด,น.,สภาพจิต
ဇဴစိုတ်,แจฺ-าจอด,น.,ภาวะของจิต
ဇဴဒြေပ်,แจฺ-าเตฺฺรบ,ก.,ลอยไป
ဇဴဒြေပ်,แจฺ-าเตฺฺรบ,ก.,รีบเร่ง
ဇံၚ်,จฺอง,น.,เตียง
ဇံၚ်,จฺอง,น.,แคร่
ဇံၚ်,จฺอง,ลน.,กอง
ဇံၚ်ကွဳ,จฺองกฺวี,น.,แคร่เกวียน
ဇံၚ်ကွဳ,จฺองกฺวี,น.,แคร่นั่งบนเกวียน
ဇံၚ်ဂတဵု,จฺองแกฺ.ตอ,น.,เตียงไม้
ဇံၚ်ဂလိၚ်,จฺองแกฺ.เลิฺญ,น.,แคร่หาม
ဇံၚ်ဇၞး,จฺองแจฺ.แนฺ.ฮ,น.,แคร่ไม่ไผ่ใช้ในการวางศพ
ဇံၚ်ပံၚ်သကူ,จฺองปองซะเกา,น.,กองผ้าป่า
ဇံၚ်မူ,จฺองมฺู,น.,เตียงที่ทำด้วยไม้ชั้นเยี่ยม
ဇံၚ်မောဝ်,จฺองโมฺ,น.,เตียงที่ทำด้วยไม้ชั้นเยี่ยม
ဇံၚ်ယဲ,จฺองยัฺว,น.,เตียงคนไข้
ဇံၚ်သတိက်,จฺองซะเติจ,น.,เตียงนอน
ဇံၚ်သဝန်,จฺองซะวอน,น.,เก้าอี้ใหญ่
ဇံၚ်သဝန်,จฺองซะวอน,น.,เก้าอี้นวม
ဇံၚ်သဝန်,จฺองซะวอน,น.,โซฟา
ဇံသဝ်,จฺอ.ซอ,ก.,หมอบ
ဇံသဝ်,จฺอ.ซอ,ก.,ก้มหน้า(ลักษณะเข้าเฝ้าเจ้าฟ้าเจ้าแผ่นดิน)
ဇံသဝ်,จฺอ.ซอ,ก.,อ่อนน้อม
ဇိုၚ်,จฺิาง,น.,1.เท้า
ဇိုၚ်,จฺิาง,น.,ตีน
ဇိုၚ်,จฺิาง,น.,เชิง
ဇိုၚ်,จฺิาง,น.,ปลาย
ဇိုၚ်,จฺิาง,ว.,ข้าง
ဇိုၚ်,จฺิาง,ว.,ใกล้
ဇိုၚ်က္ညံၚ်,จฺิางกะญอง,น.,ขาเขยก
ဇိုၚ်က္ညံၚ်,จฺิางกะญอง,น.,ขาเดี้ยง
ဇိုၚ်ကၞေဟ်,จฺิางกะเนฮ,น.,เหล็กจารหนังสือใบลาน
ဇိုၚ်ကမောဝ်,จฺิางกะโม,น.,การคูณเลข
ဇိုၚ်ကမောဝ်,จฺิางกะโม,น.,ตัวคูณ
ဇိုၚ်ခေံ,จฺิางเค.,น.,ขาเป๋
ဇိုၚ်ခေံ,จฺิางเค.,น.,ขาเขยก
ဇိုၚ်ဂြိုပ်,จฺิางเกฺฺริบ,น.,ชายป่า
ဇိုၚ်ဂြိုပ်,จฺิางเกฺฺริบ,น.,ริมป่า
ဇိုၚ်စ,จฺิางเจีย.,น.,ตัวหาร
ဇိုၚ်စ,จฺิางเจีย.,น.,การหาร
ဇိုၚ်စါၚ်,จฺิางจาญ,น.,ขาไก่
ဇိုၚ်စါၚ်,จฺิางจาญ,น.,จันทัน
ဇိုၚ်ဍာ်,จฺิางดาจ,น.,ริมน้ำ
ဇိုၚ်ဍာ်,จฺิางดาจ,น.,ชายน้ำ
ဇိုၚ်ဒယူ,จฺิางแตฺ.ยฺู,น.,ชายคาระเบียง
ဇိုၚ်ဒဵု,จฺิางเตฺอ,น.,เชิงเขา
ဇိုၚ်ဒဵု,จฺิางเตฺอ,น.,ชายเขา
ဇိုၚ်နုက်,จฺิางเนิฺก,น.,การลบ
ဇိုၚ်နုက်,จฺิางเนิฺก,น.,เลขลบ
ဇိုၚ်နုက်,จฺิางเนิฺก,น.,ตัวลบ
ဇိုၚ်မှာသမိတ်,จฺิางฮฺมามิด,น.,ชายฝั่งทะเล
ဇိုၚ်မှာသမိတ်,จฺิางฮฺมามิด,น.,ชายฝั่งมหาสมุทร
ဇိုၚ်ဝါ,จฺิางแวฺ-า,น.,ริมทุ่ง
ဇိုၚ်ဝါ,จฺิางแวฺ-า,น.,ชายทุ่ง
ဇိုၚ်ၜဳ,จฺิางบี,น.,ริมแม่น้ำ
ဇိုၚ်ၜဳ,จฺิางบี,น.,ชายแม่น้ำ
ဇိုတ်,จฺอด,ก.,ลบ
ဇိုတ်,จฺอด,ก.,เช็ด
ဇိုန်,เจฺิน,ก.,ถวาย
ဇိုန်,เจฺิน,ก.,มอบ เช่น ဇိုန်ဇကုကဵုရတ်ပိ ถวายตัวแก่พระรัตนตรัย
ဇိုန်ကဵု,เจฺินกอ,ก.,ถวายแก่
ဇိုန်ကဵု,เจฺินกอ,ก.,มอบให้
ဇိုပ်,จฺาบ,ก.,ตบแต่ง
ဇိုပ်,จฺาบ,ก.,ประดับประดา
ဇိုပ်သ္ကိုပ်,จฺาบซะกาบ,ก.,ตบแต่ง
ဇိုပ်သ္ကိုပ်,จฺาบซะกาบ,ก.,ประดับประดา
ဇိုမ်,เจฺิม,ก.,ทุ่ม
ဇိုမ်,เจฺิม,ก.,ปะทะ
ဇိုမ်,เจฺิม,ก.,ทุ่มเท
ဇိုမ်,เจฺิม,ก.,ประสานงา
ဇီု,เจฺิม,ก.,ทุ่ม
ဇီု,เจฺิม,ก.,ปะทะ
ဇီု,เจฺิม,ก.,ทุ่มเท
ဇီု,เจฺิม,ก.,ประสานงา
ဇီုဖြာ,เจฺิมพฺรา,น.,ป่าที่มีบึง
ဇီုဖြာ,เจฺิมพฺรา,น.,พุ่มไม้
ဇဵု,เจฺอ,ก.,ชน
ဇဵု,เจฺอ,ลน.,คัน
ဇဵု,เจฺอ,น.,คัน
ဇဵု,เจฺอ,น.,ขอบ
ဇဵုကမာ,เจฺอกะมา,น.,คันหรือขอบบ่อหรือสระ
ဇဵုကမာ,เจฺอกะมา,น.,เขื่อนกั้นน้ำสระและแอ่งน้ำ
ဇဵုခနောန်,เจฺอคะโนน,น.,คันเบ็ด
ဇဵုဍုၚ်,เจฺอเดิง,น.,เชิงเทิน
ဇဵုဍုၚ်,เจฺอเดิง,น.,กำแพงเมือง
ဇဵုတ္ၚ,เจฺอตะงะ,น.,คันธนู
ဇဵုတရၚ်,เจฺอตะรัง,น.,เขื่อนประตู
ဇဵုတရၚ်,เจฺอตะรัง,น.,หลักประตู
ဇဵုနာဲ,เจฺอนฺาย,น.,คันหูกทอผ้า
ဇဵုနာဲ,เจฺอนฺาย,น.,กงดีดฝ้าย
ဇဵုမုဟ်,เจฺอมฺุฮ,น.,ดั้งจมูก
ဇ္ၚဲ,แจฺ.งัฺว,ว.,ไกล
ဇ္ၚဲခလိုၚ်,แจฺ.งัฺวคะลิาง,ว.,ไกลเหลือเกิน
ဇ္ၚဲခလိုၚ်,แจฺ.งัฺวคะลิาง,ว.,ไกลโพ้น
ဇ္ၚေါဲ,แจฺ.งัฺว,ว.,ไกล
ဇ္ၚး,แจฺ.แงฺ.ฮ,ก.,ทำความสะอาด
ဇ္ၚး,แจฺ.แงฺ.ฮ,ก.,ปัดกวาด
ဇၞတ်,แจฺ.นฺอด,ว.,ขณะ
ဇၞတ်,แจฺ.นฺอด,ว.,เมื่อ
ဇၞိက်,แจฺ.เนิฺจ,น.,แห
ဇၞိက်,แจฺ.เนิฺจ,น.,ม่าน
ဇၞိက်ဇါ,แจฺ.เนิฺจแจฺ-า,น.,ร่างแห
ဇၞိက်ဇါ,แจฺ.เนิฺจแจฺ-า,น.,อวน
ဇၞူ,แจฺ.นฺู,น.,ที่พัก
ဇၞူ,แจฺ.นฺู,น.,ที่อาศัย
ဇၞော်,แจฺ.โนฺก,ว.,ใหญ่
ဇၞော်,แจฺ.โนฺก,ว.,โต
ဇၞော်ဂေါဝ်,แจฺ.โนฺกโกฺ,ก.,เติบโต
ဇၞော်ပမဝ်,แจฺ.โนฺกปะมอ,ก.,เจริญขึ้น
ဇၞော်ပမဝ်,แจฺ.โนฺกปะมอ,น.,พัฒนาการขึ้ว.เติบโต
ဇၞော်ပမဝ်,แจฺ.โนฺกปะมอ,น.,เจริญขึ้น
ဇၞော်မောဝ်,แจฺ.โนฺกโมฺ,ก.,เจริญขึ้น
ဇၞော်မောဝ်,แจฺ.โนฺกโมฺ,ก.,รุ่งเรือง
ဇၞော်မောဝ်,แจฺ.โนฺกโมฺ,ก.,เติบโต
ဇၞောဝ်,แจฺ.โนฺ,น.,ธงแผ่นผ้ายาว
ဇၞောဝ်မတ်,แจฺ.โนฺมฺอด,ว.,เป็นขวัญตา
ဇၞောဝ်မတ်,แจฺ.โนฺมฺอด,ก.,เก็บไว้ดูต่างหน้า
ဇၞောဝ်မတ်,แจฺ.โนฺมฺอด,ก.,เก็บไว้เป็นที่ระลึก
ဇၞောဝ်လတာ်,แจฺ.โนฺแลฺ.ตาจ,น.,ธงแฉก
ဇၞောဝ်အရှဳ,แจฺ.โนฺอะรอย,น.,ธงชัยแห่งพระอริยเจ้า
ဇၞး,แจฺ.แนฺ.ฮ,ก.,ชนะ
ဇၞး,แจฺ.แนฺ.ฮ,ก.,มีชัย
ဇၞးပိုတ်,แจฺ.แนฺ.ฮปอด,น.,ชนบท
ဇၞးပိုတ်,แจฺ.แนฺ.ฮปอด,น.,สถานที่ห่างไกลความเจริญ
ဇၟန်,แจฺ.มฺอน,น.,มาลัย
ဇၟန်,แจฺ.มฺอน,น.,พวงมาลัย
ဇၟာ,,,ดู  ဂၟာ
ဇၟာ်,แจฺ.มฺาจ,ก.,จ้วง(เรือ)
ဇၟာ်,แจฺ.มฺาจ,ก.,เกี่ยว
ဇၟာ်,แจฺ.มฺาจ,น.,ตะขอ เช่น ဇၟာ်က္ဍိုပ်စိၚ် ตะขอสับช้าง
ဇၟာပ်,แจฺ.มฺาบ,ว.,ทุก
ဇၟာပ်,แจฺ.มฺาบ,ว.,ทั้งหมด
ဇၟာပ်,แจฺ.มฺาบ,ว.,ทั้งสิ้น
ဇၟိက်,แจฺ.เมฺิจ,ก.,1.ชำระ
ဇၟိက်,แจฺ.เมฺิจ,น.,ล้างออก
ဇၟိက်,แจฺ.เมฺิจ,น.,กสิกรรม
ဇၟိက်,แจฺ.เมฺิจ,น.,ชาวนา
ဇၟိၚ်,แจฺ.เมฺิญ,น.,ฉมวกชนิด2แฉก
ဇမူ,แจฺ.มฺู,ว.,แข็งแรง
ဇမူ,แจฺ.มฺู,ว.,ทรงกำลัง เช่น  စိၚ်ဇၟူ ช้างสาร
ဇၟောဝ်,แจฺ.โมฺ,น.,สายน้ำไหล
ဇၟောဝ်,แจฺ.โมฺ,น.,กระแสน้ำ
ဇၟံ,แจฺ.มอ.,ว.,มั่นคง
ဇၟံ,แจฺ.มอ.,ว.,มั่นเหมาะ
ဇၟံ,แจฺ.มอ.,ว.,แน่นหนา
ဇၟံဇၟန်,แจฺ.มฺอ.แจฺ.มฺอน,ว.,มั่นคง
ဇၟံဇၟန်,แจฺ.มฺอ.แจฺ.มฺอน,ว.,มั่นเหมาะ
ဇၟံဇၟန်,แจฺ.มฺอ.แจฺ.มฺอน,ว.,แน่นหนา
ဇၟး,แจฺ.แมฺ.,น.,คลื่นที่แตกกระเซ็น
ဇၟး,แจฺ.แมฺ.,น.,ละลอ
ဇၟး,แจฺ.แมฺ.,ว.,ร่วน
ဇၟး,แจฺ.แมฺ.,ว.,ซุย
ဇြ,แซฺ.,ว.,เหี่ยว
ဇြ,แซฺ.,ว.,เฉา
ဇြ,แซฺ.,ว.,โทรม
ဇြ,แซฺ.,ว.,ห่อเหี่ยว
ဇြ,แซฺ.,ว.,โรย
ဇြသ္ကဟ်,แซฺ.ซะกอ.ฮ,ว.,เหี่ยวแห้ง
ဇြသ္ၚိတ်,แซฺ.ฮอจ,ก.,เงียบเหงา
ဇြသ္ၚိတ်,แซฺ.ฮอจ,ก.,เงียบสงัด
ဇြဟတ်,แซฺ.ฮฺอด,น.,พละกำลัง
ဇြဟာန်,แซฺ.ฮฺาน,น.,ความรัก
ဇြဟာန်,แซฺ.ฮฺาน,น.,ความเสน่หา
ဇြဟာန်ကၟိန်,แซฺ.ฮฺานกะมิน,น.,คู่รัก
ဇြဟာန်ကၟိန်,แซฺ.ฮฺานกะมิน,น.,คู่ครอง
ဇြဟောမ်,แซฺ.โฮม,ก.,เสียใจ
ဇြဟောမ်,แซฺ.โฮม,ก.,ระลึกถึงด้วยความเสียดาย
ဇြက်,แซฺก,ว.,ที่จะ...อีกแล้ว(มักใช้ในความปฏิเสธ)เช่น ဇြက်ဟီုဟွံမှဲရှ ที่จะพูดไม่มีอีกแล้ว
ဇြၚ်,แซฺง,น.,ดาบ
ဇြပ်,ซฺอบ,น.,ศาลา
ဇြပ်,ซฺอบ,น.,อาศรม
ဇြပ်ကၟုဲ,ซฺอบกะมุย,น.,ที่รับแขก
ဇြပ်ကၟုဲ,ซฺอบกะมุย,น.,เรือนรับรอง
ဇြပ်ပထာန်,ซฺอบปะทาน,น.,ห้องสมุดประชาชน
ဇြပ်ပထာန်,ซฺอบปะทาน,น.,สถานที่ที่ต้องการความเงียบสงบ
ဇြပ်သုဓမ္မာ,ซฺอบเซา.ทฺอมมา,น.,ศาลานางสุธัมมาบนสวรรค์ชั้นดาวดึงส์
ဇြဟ်,ซฺอ.ฮ,น.,เหว
ဇြဟ်,ซฺอ.ฮ,น.,หุบ
ဇြအ်,ซฺอ.,ว.,สุกงอม(ข้าวเปลือก
ဇြအ်,ซฺอ.,ว.,ฟ่าม
ဇြအ်,ซฺอ.,ว.,เนื้อไม่แน่น
ဇြာဲ,ซฺาย,ว.,ผอม
ဇြုၚ်,เซฺิง,ก.,นึ่ง
ဇြုၚ်,เซฺิง,ว.,ใส
ဇြုၚ်,เซฺิง,ว.,บริสุทธิ์
ဇြုၚ်ခၠၚ်,เซฺิงคฺลัง,ว.,งดงาม
ဇြုၚ်ခၠၚ်,เซฺิงคฺลัง,ว.,สดใส
ဇြုၚ်ဂေါဝ်,เซฺิงโกฺ,ว.,งดงาม
ဇြုၚ်ဂေါဝ်,เซฺิงโกฺ,ว.,สวยงาม
ဇြုၚ်ဂေါဝ်,เซฺิงโกฺ,ว.,สดใส
ဇြုၚ်ဂေါဝ်,เซฺิงโกฺ,ว.,เริงร่า
ဇြုၚ်ဂေါဝ်,เซฺิงโกฺ,ว.,น่ารัก
ဇြုံ,ซฺุม,น.,งู
ဇြုံကၟာၚ်က္ဍိုပ်,ซฺุมกะมาญกะดาบ,น.,งูจงอาง
ဇြုံကၠန်သြောံ,ซฺุมกฺลอนโซ.,น.,งูหลาม
ဇြုံဂမျိ,ซฺุมกฺอมยิฺ,น.,งูพิษ
ဇြုံၚေက်,ซฺุมเงียก,น.,งูเขียว
ဇြုံစက်စိၚ်,ซฺุมจักเจิญ,น.,งูเขียว
ဇြုံဆာတ်ခၜါဲ,ซฺุมชาดขบาย,น.,งูน้ำเค็มมีพิษ
ဇြုံဇာတ်,ซฺุมจฺาด,น.,งูเห่า
ဇြုံဇါတ်,ซฺุมจฺาด,น.,งูเห่า
ဇြုံဇါတ်ခဍာ်,ซฺุมจฺาดคะดาจ,น.,งูเห่าหม้อ
ဇြုံဇာတ်ဂျာၚ်,ซฺุมจฺาดกฺฺยาญ,น.,งูจงอาง
ဇြုံဇာတ်တၚ်,ซฺุมจฺาดตัง,น.,งูสามเหลี่ยม
ဇြုံဇါတ်ဒမျာၚ်,ซฺุมจฺาดตฺอมยฺาญ,น.,งูจงอาง
ဇြုံဇါတ်လှိုက်,ซฺุมจฺาดลิาก,น.,งูแสงอาทิตย์
ဇြုံဇဵုတ္ၚ,ซฺุมเจฺอตะงะ,น.,งูเขียว
ဇြုံဍာ်,ซฺุมดาจ,น.,งูกินปลา
